suburb,postcode,lat,lon,total_patient,population,age
KYEEMAGH,2216,-33.951452,151.159943,13,907,60+
KYLE BAY,2221,-33.991238,151.098301,2,1041,40 to 59
LA PEROUSE,2036,-33.989634,151.231507,12,407,40 to 59
LAKEMBA,2195,-33.920457,151.075921,5,17031,20 to 39
LALOR PARK,2147,-33.761339,150.930337,12,7662,20 to 39
LANE COVE,2066,-33.814599,151.168722,16,10817,20 to 39
LANE COVE NORTH,2066,-33.807556,151.170912,16,11442,20 to 39
LANE COVE WEST,2066,-33.806246,151.153281,16,2625,40 to 59
LANSDOWNE,2163,-33.893687,150.971005,7,14,20 to 39
LANSDOWNE,2430,-31.782989,152.534579,16,596,60+
LANSVALE,2166,-33.89733,150.952786,4,2554,40 to 59
LAUGHTONDALE,2775,-33.410229,151.024592,0,81,40 to 59
LAVENDER BAY,2060,-33.84307,151.208015,11,956,20 to 39
LEETS VALE,2775,-33.427708,150.948095,0,57,60+
LEICHHARDT,2040,-33.883793,151.157057,11,14625,20 to 39
LEONAY,2750,-33.759156,150.652318,27,2503,40 to 59
LEPPINGTON,2179,-33.964333,150.81727,1,3501,20 to 39
LETHBRIDGE PARK,2770,-33.736938,150.799824,12,4730,20 to 39
LEUMEAH,2560,-34.052285,150.833396,19,9826,20 to 39
LEWISHAM,2049,-33.894902,151.144413,4,3161,20 to 39
LIBERTY GROVE,2138,-33.841665,151.083609,4,2254,20 to 39
LIDCOMBE,2141,-33.865218,151.043519,7,19620,20 to 39
LILLI PILLI,2229,-34.069836,151.114032,15,1378,40 to 59
LILLI PILLI,2536,-35.773317,150.225056,5,618,60+
LILYFIELD,2040,-33.872991,151.165788,11,7611,40 to 59
LINDFIELD,2070,-33.776441,151.168736,10,9774,40 to 59
LINLEY POINT,2066,-33.826777,151.148251,16,352,40 to 59
LITTLE BAY,2036,-33.981177,151.243206,12,4474,20 to 39
LIVERPOOL,2170,-33.92505,150.924429,22,27107,20 to 39
LLANDILO,2747,-33.708904,150.756773,50,1640,40 to 59
LOFTUS,2232,-34.048075,151.051176,18,4135,40 to 59
LONDONDERRY,2753,-33.645188,150.73698,5,3896,40 to 59
LONG POINT,2330,-32.568903,151.109612,3,35,40 to 59
LONG POINT,2564,-34.016437,150.898579,5,188,60+
LONG POINT,2564,-34.011944,150.896944,11,193,20 to 39
LONGUEVILLE,2066,-33.833096,151.165342,16,2082,40 to 59
LOVETT BAY,2105,-33.637405,151.278429,0,141,40 to 59
LOWER PORTLAND,2756,-33.451409,150.865871,12,586,40 to 59
LUCAS HEIGHTS,2234,-34.047985,150.988369,20,10529,60+
LUDDENHAM,2745,-33.883725,150.693079,13,1814,40 to 59
LUGARNO,2210,-33.982956,151.046942,21,5616,40 to 59
LURNEA,2170,-33.931947,150.896105,22,9333,20 to 39
MACQUARIE FIELDS,2564,-33.989471,150.882626,5,13728,20 to 39
MACQUARIE LINKS,2565,-33.982185,150.867561,3,1373,40 to 59
MACQUARIE PARK,2113,-33.779795,151.134041,22,8153,20 to 39
MAIANBAR,2230,-34.081826,151.129788,25,498,40 to 59
MALABAR,2036,-33.965376,151.245969,12,5423,40 to 59
MANLY,2095,-33.797144,151.28804,20,15854,20 to 39
MANLY VALE,2093,-33.784036,151.267315,12,6166,20 to 39
MARAYLYA,2765,-33.58198,150.90695,7,1240,40 to 59
MARAYONG,2148,-33.746168,150.898338,34,7727,20 to 39
MAROOTA,2756,-33.473024,150.970972,12,634,40 to 59
MAROUBRA,2035,-33.946123,151.242818,22,30681,20 to 39
MARRICKVILLE,2204,-33.910923,151.157187,10,26607,20 to 39
MARSDEN PARK,2765,-33.697585,150.832318,7,1009,60+
MARSFIELD,2122,-33.783971,151.094241,25,13293,20 to 39
MASCOT,2020,-33.931189,151.19431,12,14759,20 to 39
MATRAVILLE,2036,-33.957549,151.230846,12,9812,40 to 59
MAYS HILL,2145,-33.82066,150.990511,42,762,20 to 39
MCGRATHS HILL,2756,-33.613435,150.840222,12,2550,40 to 59
MCMAHONS POINT,2060,-33.84464,151.20425,11,2283,20 to 39
MEADOWBANK,2114,-33.815912,151.090715,12,4406,20 to 39
MELROSE PARK,2114,-33.816575,151.076089,12,1576,40 to 59
MENAI,2234,-34.012564,151.014645,20,10321,40 to 59
MENANGLE PARK,2563,-34.100121,150.757016,0,258,20 to 39
MERRYLANDS,2160,-33.836381,150.989219,6,29660,20 to 39
MERRYLANDS WEST,2160,-33.832864,150.972036,6,6596,20 to 39
MIDDLE COVE,2068,-33.794087,151.207975,15,1327,40 to 59
MIDDLE DURAL,2158,-33.648471,151.021276,3,1011,60+
MIDDLETON GRANGE,2171,-33.914093,150.843547,12,5181,20 to 39
MILLERS POINT,2000,-33.858315,151.203519,18,1494,40 to 59
MILPERRA,2214,-33.937834,150.989263,0,3938,40 to 59
MILSONS PASSAGE,2083,-33.518967,151.176541,0,16,60+
MILSONS POINT,2061,-33.847526,151.211568,3,2166,20 to 39
MINCHINBURY,2770,-33.781673,150.813667,12,5626,20 to 39
MINTO,2566,-34.032022,150.848208,4,12560,20 to 39
MINTO HEIGHTS,2566,-34.037543,150.871353,4,365,60+
MIRANDA,2228,-34.034014,151.100428,6,15269,20 to 39
MONA VALE,2103,-33.67707,151.300316,5,10668,60+
MONTEREY,2217,-33.973068,151.150983,10,4539,40 to 59
MOORE PARK,2021,-33.893632,151.219357,23,18,20 to 39
MOOREBANK,2170,-33.933805,150.953602,22,9739,20 to 39
MORNING BAY,2108,-33.623044,151.281623,1,302,60+
MORTDALE,2223,-33.972239,151.075391,3,10415,20 to 39
MORTLAKE,2137,-33.843435,151.10698,10,1043,20 to 39
MOSMAN,2088,-33.829077,151.24409,41,28470,40 to 59
MOUNT ANNAN,2567,-34.054864,150.764158,19,11696,40 to 59
MOUNT COLAH,2079,-33.664817,151.117161,1,7093,40 to 59
MOUNT DRUITT,2770,-33.766434,150.816989,12,16730,20 to 39
MOUNT LEWIS,2190,-33.917157,151.047838,3,1194,20 to 39
MOUNT LEWIS,2200,-33.917157,151.047838,13,1191,20 to 39
MOUNT PRITCHARD,2170,-33.894817,150.90304,22,9960,20 to 39
MOUNT VERNON,2178,-33.862377,150.807887,2,1188,40 to 59
MULGOA,2745,-33.838167,150.683371,13,1898,40 to 59
MULGRAVE,2756,-33.626053,150.829912,12,76,5 to 19
NARELLAN VALE,2567,-34.055271,150.74408,19,7188,40 to 59
NAREMBURN,2065,-33.817299,151.20116,22,5885,20 to 39
NARRABEEN,2101,-33.723127,151.287366,9,8194,60+
NARRAWEENA,2099,-33.749912,151.274687,20,6625,40 to 59
NARWEE,2209,-33.948609,151.069628,12,5622,20 to 39
NELSON,2550,-36.675498,149.971179,1,8,5 to 19
NELSON,2765,-33.652795,150.915685,7,444,60+
NEUTRAL BAY,2089,-33.83112,151.221232,9,10478,20 to 39
NEWINGTON,2127,-33.839276,151.054828,5,5798,20 to 39
NEWPORT,2106,-33.659896,151.309312,5,9283,40 to 59
NEWTOWN,2042,-33.896449,151.180013,9,15027,20 to 39
NORMANHURST,2076,-33.720999,151.097331,11,5280,40 to 59
NORTH BALGOWLAH,2093,-33.787074,151.251721,12,3653,40 to 59
NORTH BONDI,2026,-33.8857,151.279788,113,9162,20 to 39
NORTH CURL CURL,2099,-33.761652,151.295691,20,4108,40 to 59
NORTH EPPING,2121,-33.759777,151.087742,4,4538,40 to 59
NORTH MANLY,2100,-33.775702,151.269339,11,3074,40 to 59
NORTH NARRABEEN,2101,-33.702661,151.293622,9,5864,40 to 59
NORTH PARRAMATTA,2151,-33.798043,151.010707,5,13253,20 to 39
NORTH RICHMOND,2754,-33.582355,150.721891,3,4983,40 to 59
NORTH ROCKS,2151,-33.768119,151.02854,5,7978,40 to 59
NORTH RYDE,2113,-33.79677,151.124355,22,10867,40 to 59
NORTH ST MARYS,2760,-33.776502,150.781319,11,3903,20 to 39
NORTH STRATHFIELD,2137,-33.85746,151.091954,10,4748,20 to 39
NORTH SYDNEY,2055,-33.802837,151.104935,0,7707,20 to 39
NORTH SYDNEY,2060,-33.838265,151.206481,11,7713,20 to 39
NORTH TURRAMURRA,2074,-33.713419,151.147146,14,4269,60+
NORTH WILLOUGHBY,2068,-33.793089,151.195787,15,4173,40 to 59
NORTH WAHROONGA,2076,-33.702704,151.123179,11,1975,40 to 59
NORTHBRIDGE,2063,-33.815028,151.222266,1,6331,40 to 59
NORTHMEAD,2152,-33.783849,150.994336,5,11216,20 to 39
NORTHWOOD,2066,-33.829732,151.177751,16,987,40 to 59
OAKHURST,2761,-33.744048,150.834819,15,6959,20 to 39
OAKVILLE,2765,-33.622562,150.862154,7,1969,40 to 59
OATLANDS,2117,-33.796298,151.026314,6,5661,40 to 59
OATLEY,2223,-33.981428,151.082765,3,10491,40 to 59
OLD GUILDFORD,2161,-33.867084,150.988073,8,2667,20 to 39
OLD TOONGABBIE,2146,-33.792713,150.974108,0,3126,40 to 59
ORAN PARK,2570,-34.006941,150.723908,16,4762,20 to 39
ORCHARD HILLS,2748,-33.779331,150.716312,1,1890,40 to 59
OXFORD FALLS,2100,-33.730197,151.248218,11,143,60+
OXLEY PARK,2760,-33.771261,150.79264,11,3100,20 to 39
OYSTER BAY,2225,-34.006894,151.081067,5,5479,40 to 59
PADDINGTON,2021,-33.885032,151.226475,23,12922,20 to 39
PADSTOW,2211,-33.953915,151.038163,6,13313,40 to 59
PADSTOW HEIGHTS,2211,-33.971073,151.030955,6,3537,60+
PAGEWOOD,2035,-33.940108,151.228411,22,3792,40 to 59
PALM BEACH,2108,-33.604282,151.321419,1,1586,60+
PANANIA,2213,-33.95613,150.998047,6,12418,40 to 59
PARKLEA,2768,-33.728123,150.923807,3,3477,20 to 39
PARRAMATTA,2150,-33.816957,151.003451,5,25793,20 to 39
PEAKHURST,2210,-33.959715,151.062187,21,10548,60+
PEAKHURST HEIGHTS,2210,-33.968127,151.057596,21,2345,60+
PEMULWUY,2145,-33.821944,150.923752,42,5013,20 to 39
PENDLE HILL,2145,-33.801912,150.955614,42,7244,20 to 39
PENNANT HILLS,2120,-33.738681,151.071433,13,7296,40 to 59
PENRITH,2750,-33.744073,150.69602,27,13300,20 to 39
PENSHURST,2222,-33.963346,151.086744,0,12800,20 to 39
PETERSHAM,2049,-33.896242,151.154136,4,8096,20 to 39
PHILLIP BAY,2036,-33.980556,151.236692,12,702,40 to 59
PICNIC POINT,2213,-33.979303,151.000056,6,6148,40 to 59
PITT TOWN,2756,-33.586184,150.860081,12,3036,40 to 59
PITT TOWN BOTTOMS,2756,-33.596291,150.841424,12,107,40 to 59
PLEASURE POINT,2172,-33.966909,150.98764,1,517,40 to 59
PLUMPTON,2761,-33.751432,150.841204,15,9193,20 to 39
POINT PIPER,2027,-33.870083,151.252329,7,1424,60+
PORT BOTANY,2036,-33.966245,151.225013,12,8790,60+
PORT HACKING,2229,-34.067503,151.122449,15,1097,5 to 19
POTTS HILL,2143,-33.898247,151.031087,0,876,20 to 39
POTTS POINT,2011,-33.869026,151.225603,30,9421,20 to 39
PRAIRIEWOOD,2176,-33.867342,150.90213,18,3254,40 to 59
PRESTONS,2170,-33.942903,150.872145,22,15308,40 to 59
PROSPECT,2148,-33.801553,150.916198,34,4726,20 to 39
PUNCHBOWL,2196,-33.925686,151.054635,5,20242,20 to 39
PUNCHBOWL,2460,-29.494599,152.795221,3,289,60+
PUTNEY,2112,-33.824735,151.112549,11,4105,40 to 59
PYMBLE,2073,-33.74414,151.141103,6,11040,40 to 59
PYRMONT,2009,-33.869709,151.19393,9,12832,20 to 39
QUAKERS HILL,2763,-33.728356,150.881177,17,27077,20 to 39
QUEENS PARK,2022,-33.903188,151.247205,37,3065,40 to 59
QUEENSCLIFF,2096,-33.784595,151.287817,14,3365,20 to 39
RABY,2566,-34.021071,150.811347,4,5936,20 to 39
RAMSGATE,2217,-33.984683,151.139847,10,1113,40 to 59
RAMSGATE BEACH,2217,-33.981114,151.1483,10,1661,60+
RANDWICK,2031,-33.913164,151.241993,28,29994,20 to 39
REDFERN,2016,-33.892778,151.203901,7,13231,20 to 39
REGENTS PARK,2143,-33.883928,151.023796,0,4911,20 to 39
REGENTVILLE,2745,-33.773649,150.669102,13,810,40 to 59
REVESBY,2212,-33.951507,151.017247,4,14189,20 to 39
REVESBY HEIGHTS,2212,-33.968802,151.015063,4,1662,40 to 59
RHODES,2138,-33.830764,151.088105,4,11920,20 to 39
RICHMOND,2753,-33.597753,150.75289,5,5499,20 to 39
RICHMOND LOWLANDS,2753,-33.568631,150.757565,5,32,40 to 59
RIVERSTONE,2765,-33.679382,150.861595,7,7238,20 to 39
RIVERVIEW,2066,-33.825587,151.159934,16,3340,5 to 19
RIVERVIEW,2404,-29.904643,150.687307,0,3347,5 to 19
RIVERWOOD,2210,-33.949859,151.052469,21,12104,20 to 39
ROCKDALE,2216,-33.952747,151.137624,13,15521,20 to 39
RODD POINT,2046,-33.868208,151.141652,14,1405,40 to 59
ROOKWOOD,2141,-33.866398,151.058147,7,8,60+
ROOTY HILL,2766,-33.77155,150.843922,7,14705,20 to 39
ROPES CROSSING,2760,-33.77448,150.810841,11,6172,20 to 39
ROSE BAY,2029,-33.866555,151.280456,11,10040,20 to 39
ROSEBERY,2018,-33.920412,151.203107,11,10119,20 to 39
ROSEHILL,2142,-33.819992,151.024558,7,3795,20 to 39
ROSELANDS,2196,-33.933167,151.073197,5,11589,20 to 39
ROSEMEADOW,2560,-34.101795,150.800106,19,7835,20 to 39
ROSEVILLE,2069,-33.784635,151.177111,6,10088,40 to 59
ROSEVILLE CHASE,2069,-33.778902,151.195195,6,1610,40 to 59
ROSSMORE,2557,-33.945965,150.772763,5,2293,40 to 59
ROUSE HILL,2155,-33.682068,150.915397,25,7971,40 to 59
ROZELLE,2039,-33.863063,151.170573,5,8720,20 to 39
RUSE,2560,-34.069283,150.844069,19,5585,20 to 39
RUSHCUTTERS BAY,2011,-33.87624,151.228614,30,2545,20 to 39
RUSSELL LEA,2046,-33.86072,151.140711,14,4999,40 to 59
RYDALMERE,2116,-33.811244,151.034464,4,6657,40 to 59
RYDE,2112,-33.812953,151.104942,11,26507,20 to 39
SACKVILLE,2756,-33.502935,150.875982,12,294,40 to 59
SACKVILLE NORTH,2756,-33.489441,150.926902,12,316,40 to 59
SADLEIR,2168,-33.920629,150.890212,13,3137,5 to 19
SANDRINGHAM,2219,-33.998763,151.139252,7,1236,40 to 59
SANDY POINT,2172,-33.975419,150.993967,1,591,40 to 59
SANS SOUCI,2219,-33.990614,151.133074,7,10296,40 to 59
SCHEYVILLE,2756,-33.61069,150.88031,12,3,40 to 59
SCHOFIELDS,2762,-33.697217,150.888428,0,4977,20 to 39
SCOTLAND ISLAND,2105,-33.641752,151.290116,0,582,40 to 59
SEAFORTH,2092,-33.797106,151.251146,8,7133,40 to 59
SEFTON,2162,-33.885501,151.011469,5,5812,20 to 39
SEVEN HILLS,2147,-33.775477,150.934257,12,19308,20 to 39
SHALVEY,2770,-33.729373,150.808375,12,3462,20 to 39
SHANES PARK,2747,-33.711305,150.783287,50,404,40 to 59
SILVERWATER,2128,-33.835928,151.047591,1,4159,20 to 39
SILVERWATER,2264,-33.101384,151.56199,5,297,60+
SINGLETONS MILL,2775,-33.463598,151.075938,0,3,20 to 39
SMEATON GRANGE,2567,-34.039104,150.756685,19,8,20 to 39
SMITHFIELD,2164,-33.853546,150.940431,4,11977,20 to 39
SOUTH HURSTVILLE,2221,-33.977595,151.104909,2,5135,20 to 39
SOUTH MAROOTA,2756,-33.52308,150.948575,12,547,40 to 59
SOUTH PENRITH,2750,-33.767176,150.703837,27,11785,20 to 39
SOUTH TURRAMURRA,2074,-33.746027,151.113441,14,3083,40 to 59
SOUTH WENTWORTHVILLE,2145,-33.823892,150.969376,42,6212,20 to 39
SOUTH WINDSOR,2756,-33.620168,150.804452,12,5887,20 to 39
SPRING FARM,2570,-34.070247,150.727716,16,4295,20 to 39
ST CLAIR,2330,-32.341363,151.294669,3,6,40 to 59
ST CLAIR,2759,-33.794362,150.790261,10,19894,20 to 39
ST HELENS PARK,2560,-34.112264,150.798121,19,6609,20 to 39
ST IVES,2075,-33.730601,151.158551,14,17295,40 to 59
ST IVES CHASE,2075,-33.707895,151.163446,14,3163,40 to 59
ST JOHNS PARK,2176,-33.885824,150.905403,18,6120,60+
ST LEONARDS,2065,-33.823248,151.195504,22,5488,20 to 39
ST MARYS,2760,-33.76676,150.774015,11,12197,20 to 39
ST PETERS,2044,-33.911062,151.180126,8,3143,20 to 39
STANHOPE GARDENS,2768,-33.711215,150.933621,3,9171,20 to 39
STANMORE,2048,-33.897351,151.16535,2,7950,20 to 39
STRATHFIELD,2135,-33.873913,151.093993,13,25803,20 to 39
STRATHFIELD SOUTH,2136,-33.891711,151.082992,0,3542,20 to 39
SUMMER HILL,2130,-33.891712,151.137258,3,7315,20 to 39
SUMMER HILL,2287,-32.478428,151.519413,17,7315,20 to 39
SURRY HILLS,2010,-33.888821,151.213328,30,16408,20 to 39
SUTHERLAND,2232,-34.031432,151.057965,18,10818,20 to 39
SYDENHAM,2044,-33.915222,151.166104,8,1149,20 to 39
SYLVANIA,2224,-34.008075,151.105104,7,10489,60+
SYLVANIA WATERS,2224,-34.019802,151.115847,7,3159,40 to 59
TAMARAMA,2026,-33.897439,151.271839,113,1627,20 to 39
TAREN POINT,2229,-34.012545,151.125456,15,1732,60+
TELOPEA,2117,-33.795986,151.045106,6,5426,20 to 39
TEMPE,2044,-33.924777,151.160747,8,3548,20 to 39
TENNYSON,2754,-33.536388,150.736946,3,385,60+
TENNYSON POINT,2111,-33.831448,151.117286,12,1227,40 to 59
TERREY HILLS,2084,-33.683644,151.22847,3,3034,40 to 59
THE PONDS,2769,-34.054326,150.753104,4,11715,20 to 39
THE ROCKS,2000,-33.859251,151.208782,18,773,20 to 39
THE SLOPES,2754,-33.532102,150.708405,3,344,40 to 59
THORNLEIGH,2120,-33.730816,151.081226,13,8461,40 to 59
TOONGABBIE,2146,-33.788942,150.950644,0,14345,20 to 39
TREGEAR,2770,-33.751082,150.795678,12,3885,20 to 39
TURRAMURRA,2074,-33.733244,151.129809,14,11926,40 to 59
TURRELLA,2205,-33.929963,151.140643,8,2522,20 to 39
ULTIMO,2007,-33.878416,151.197272,9,8831,20 to 39
VARROVILLE,2566,-34.010255,150.822979,4,106,60+
VAUCLUSE,2030,-33.859047,151.278434,19,9335,40 to 59
VILLAWOOD,2163,-33.883679,150.976468,7,6026,20 to 39
VOYAGER POINT,2172,-33.964547,150.97238,1,1674,40 to 59
WAHROONGA,2076,-33.716405,151.118119,11,17367,40 to 59
WAITARA,2077,-33.709541,151.104136,22,5944,20 to 39
WAKELEY,2176,-33.873966,150.90888,18,4750,20 to 39
WALLACIA,2745,-33.865179,150.640418,13,1627,40 to 59
WAREEMBA,2046,-33.856828,151.130728,14,1555,40 to 59
WARRAWEE,2074,-33.722839,151.126134,14,2982,40 to 59
WARRIEWOOD,2102,-33.686265,151.29908,7,7497,40 to 59
WARWICK FARM,2170,-33.913423,150.932752,22,5867,20 to 39
WATERFALL,2233,-34.1352,150.994957,13,483,40 to 59
WATERLOO,2017,-33.9004,151.206144,11,14619,20 to 39
WATSONS BAY,2030,-33.844806,151.282368,19,853,40 to 59
WATTLE GROVE,2173,-33.963316,150.936403,1,8960,20 to 39
WAVERLEY,2024,-33.897955,151.252059,17,4349,20 to 39
WAVERTON,2060,-33.839969,151.195808,11,3010,20 to 39
WEDDERBURN,2560,-34.127555,150.812698,19,627,40 to 59
WENTWORTHVILLE,2145,-33.805922,150.970183,42,11325,20 to 39
WERRINGTON,2747,-33.757725,150.739982,50,4028,20 to 39
WERRINGTON COUNTY,2747,-33.747939,150.751155,50,3642,20 to 39
WERRINGTON DOWNS,2747,-33.740586,150.733755,50,3240,20 to 39
WEST HOXTON,2171,-33.922272,150.839967,12,10015,40 to 59
WEST PENNANT HILLS,2125,-33.753676,151.039113,14,16367,40 to 59
WEST PYMBLE,2073,-33.760383,151.126038,6,5305,40 to 59
WEST RYDE,2114,-33.807712,151.088724,12,13397,20 to 39
WESTLEIGH,2120,-33.711956,151.072836,13,4463,40 to 59
WESTMEAD,2145,-33.805332,150.986608,42,16306,20 to 39
WETHERILL PARK,2164,-33.847512,150.913204,4,6147,20 to 39
WHALAN,2770,-33.760165,150.809528,12,5962,20 to 39
WHALE BEACH,2107,-33.614274,151.330438,6,248,60+
WHEELER HEIGHTS,2097,-33.732476,151.277439,13,2997,40 to 59
WILBERFORCE,2756,-33.558179,150.847506,12,3001,40 to 59
WILEY PARK,2195,-33.922464,151.068194,5,10127,20 to 39
WILLMOT,2770,-33.727621,150.791569,12,2445,5 to 19
WILLOUGHBY,2068,-33.801483,151.1986,15,6542,40 to 59
WILLOUGHBY EAST,2068,-33.802534,151.203505,15,1818,40 to 59
WINDSOR,2756,-33.608814,150.817481,12,1900,40 to 59
WINDSOR DOWNS,2756,-33.667695,150.803079,12,1183,40 to 59
WINSTON HILLS,2153,-33.776054,150.987795,15,11694,40 to 59
WISEMANS FERRY,2775,-33.408879,150.980048,0,229,40 to 59
WOLLI CREEK,2205,-33.930744,151.155272,8,6387,20 to 39
WOLLSTONECRAFT,2065,-33.828158,151.196621,22,8323,20 to 39
WOODBINE,2560,-34.049892,150.818872,19,2750,20 to 39
WOODCROFT,2767,-33.754986,150.879666,11,6448,20 to 39
WOODPARK,2164,-33.84063,150.961859,4,1519,20 to 39
WOOLLAHRA,2025,-33.885795,151.24413,16,7414,20 to 39
WOOLLOOMOOLOO,2011,-33.869283,151.220412,30,4014,20 to 39
WOOLOOWARE,2230,-34.048276,151.141431,25,3967,40 to 59
WOOLWICH,2110,-33.838393,151.172535,10,814,60+
WORONORA,2232,-34.020654,151.047946,18,2193,40 to 59
WORONORA HEIGHTS,2233,-34.034836,151.027656,13,2870,40 to 59
YAGOONA,2199,-33.907725,151.026108,11,18014,20 to 39
YARRAMUNDI,2753,-33.627259,150.672695,5,828,40 to 59
YARRAWARRAH,2233,-34.058462,151.03279,13,2726,40 to 59
YENNORA,2161,-33.860889,150.969356,8,1616,60+
YOWIE BAY,2228,-34.049866,151.104325,6,3095,40 to 59
ZETLAND,2017,-33.909938,151.206234,11,10071,20 to 39
